GEOID,Population,PopDensity
420032902003,469,0.269260137
420032902004,606,0.368853207
420034135004,2499,0.109207327
420034141012,1160,0.02588854
420034141023,1812,0.022270938
420034080013,1659,0.039233112
420034171002,709,0.26373937
420034264004,1290,0.110650876
420034291001,1300,0.045587818
420034292011,1904,0.102883216
420034297001,1289,0.062566012
420034315003,985,0.474369594
420034324001,767,0.394945521
420034370002,2636,0.037013297
420034520003,1965,0.017234396
420034560032,2683,0.056488872
420034580003,2509,0.025093207
420034591022,1368,0.056466952
420034626002,1233,0.325361579
420034703001,1691,0.101520587
420034592012,1736,0.02198569
420034687002,557,0.183130914
420034688001,639,0.269426993
420034688002,843,0.311074702
420034688003,1199,0.206133813
420033206002,1043,0.127132486
420033207001,1084,0.148730712
420034689001,1416,0.220993785
420034754013,889,0.036154466
420034754021,1170,0.048727139
420034754022,1745,0.11896297
420034761001,432,0.161037199
420033207002,533,0.091116563
420034011003,753,0.106114626
420031411001,1300,0.10627314
420034761002,616,0.11486494
420034825001,1782,0.074629991
420035238004,1643,0.063762912
420032022002,691,0.44403033
420032023001,948,0.20477108
420032023002,913,0.165214181
420032023003,715,0.105961403
420032107001,1400,0.385937539
420033001004,891,0.637567084
420034190001,987,0.013762924
420032206001,1269,0.484500933
420032206002,536,0.318567871
420035200022,1034,0.097449077
420034741012,1610,0.067998106
420034961012,1532,0.019080468
420034020001,578,0.249741833
420035237011,733,0.033208563
420035030025,1867,0.0882238
420034080012,2121,0.011682627
420034752004,1921,0.11424276
420031014003,576,0.443090557
420034600022,1903,0.075334979
420035214022,1026,0.045899037
420035262011,1457,0.081447245
420035215001,1213,0.026050067
420034838003,1132,0.48394061
420034885002,1428,0.020755542
420035211002,1208,0.128512826
420035263021,1636,0.126011617
420035237012,1872,0.074049198
420034070021,1371,0.024257325
420034133003,648,0.088308765
420034142001,3190,0.030502425
420032703002,575,0.278698695
420034070023,841,0.010841541
420034070014,1699,0.010707234
420031920004,771,0.355274981
420034292023,1999,0.097657013
420034838002,1142,0.112309273
420034560012,3064,0.036992527
420031302002,1115,0.598480985
420031916003,707,0.414385689
420035215002,2148,0.048643188
420034560031,1186,0.016537748
420035212001,1939,0.082767393
420031702002,770,0.221435535
420035235021,1491,0.031591513
420035262022,2044,0.021725708
420034011002,1699,0.030405505
420034060001,1584,0.005986598
420034132021,1016,0.046180412
420034120011,2998,0.077378625
420034268002,2739,0.128619689
420034291002,1318,0.044054586
420034150013,1969,0.011448914
420034212003,422,0.228294446
420034560011,896,0.014320104
420034135001,743,0.028119707
420034272001,1442,0.12203492
420031517002,745,0.255549191
420034911011,3285,0.0576863
420034639001,1014,0.222057735
420034120021,2834,0.031914113
420034690001,992,0.169307257
420034013003,932,0.044836556
420034773005,1449,0.082266583
420035234006,726,0.090687539
420034212004,935,0.024762321
420035638006,392,0.087303956
420039803001,0,0
420034131003,1356,0.048150861
420034993002,1130,0.076177533
420034994001,881,0.059240949
420034994002,860,0.424345595
420035030021,1039,0.103440002
420035030022,983,0.140996586
420035030023,996,0.107456349
420035030024,1013,0.158318356
420035041002,589,0.032101207
420035041003,1295,0.227537482
420035094005,778,0.117294448
420035100001,848,0.110452765
420035120001,1139,0.25669341
420035120002,1244,0.148861877
420035129001,659,0.287189768
420035129002,359,0.138293405
420035138001,866,0.313536372
420035138002,853,0.170865183
420031014002,642,0.554131386
420035138003,150,0.021954315
420035161001,1372,0.192299067
420035140002,1418,0.159660592
420035151001,878,0.172456125
420035151002,1020,0.250099917
420035151003,871,0.498432028
420035152002,1181,0.51943825
420035153001,659,0.280689499
420035153002,961,0.151950452
420035162001,824,0.177857593
420035162002,844,0.244832838
420035180013,893,0.092067835
420035200021,1047,0.086829672
420035200023,955,0.209589775
420035211001,964,0.084473966
420035213011,615,0.062047632
420035213012,1330,0.143693994
420035231002,1341,0.137736378
420035231003,962,0.139546691
420035232002,1107,0.206156769
420035232003,1166,0.162601853
420035232004,431,0.137042054
420035233001,873,0.123809065
420035233003,698,0.182905898
420035234002,564,0.20493218
420035522001,870,0.108155685
420035234005,658,0.132193018
420035235011,1789,0.094634554
420035235012,1261,0.083312081
420035235013,1237,0.104736867
420035236001,1771,0.060231109
420034511052,890,0.061022225
420035237013,790,0.075449786
420035237014,670,0.087334423
420035237022,1622,0.084233048
420035237023,1393,0.095374834
420035238001,1029,0.107051901
420035238002,726,0.089538212
420035238003,1272,0.285354708
420035240001,786,0.369633611
420035251001,1865,0.136997873
420035252001,1266,0.214086412
420035252002,1003,0.187358267
420035640001,3834,0.015103906
420034530031,1370,0.01134952
420035253001,688,0.098130248
420035262021,1433,0.108380711
420035262023,1254,0.200872047
420035263011,1453,0.105930736
420035263022,875,0.14102281
420035263023,1400,0.120394481
420035263024,1159,0.127000337
420035509001,826,0.150520626
420035509002,1040,0.235872058
420035512001,1170,0.293777934
420035512002,1282,0.242577911
420035512003,929,0.243663823
420035513001,959,0.085123531
420035519001,405,0.057710147
420035519002,1069,0.096417664
420035520002,522,0.349941006
420035520003,370,0.309877556
420035520004,1130,0.500673472
420035521001,864,0.20023871
420035521002,636,0.243590431
420034263002,2459,0.147629257
420034886002,566,0.028268043
420034511011,1979,0.037568692
420031918003,708,0.37246299
420035630002,586,0.101973518
420032704001,933,0.235121568
420032022003,742,0.402980535
420034900024,547,0.049825973
420034900025,572,0.120714834
420032814002,1759,0.179332423
420034890012,1654,0.109718367
420034890013,2235,0.119492007
420034900032,1173,0.065226711
420034900033,1772,0.145537693
420034927003,838,0.207187272
420034928001,1213,0.159682373
420034928002,1008,0.114211904
420034929001,1271,0.100562947
420034940001,1439,0.162258219
420034962001,1254,0.036185589
420034962002,1025,0.073548617
420034962005,1083,0.086274335
420034980001,1075,0.086352317
420035003001,1350,0.135878317
420035003002,433,0.06627808
420035003003,737,0.081722357
420035003004,1177,0.299142475
420035010001,1621,0.128827983
420035041001,566,0.049191085
420035070001,887,0.156488449
420035070002,1068,0.210647564
420035080001,873,0.158365049
420035094001,1592,0.260257446
420035094002,1403,0.352325777
420035094003,494,0.259629686
420035094004,930,0.143757449
420035627002,1456,0.271663078
420030402001,692,0.214880139
420039812001,0,0
420035152001,978,0.306463945
420035170002,930,0.055418862
420035190001,1038,0.045290566
420035190002,1502,0.070436042
420035213021,1501,0.141973037
420035214012,847,0.042325345
420035215003,717,0.050709437
420035220003,727,0.099196468
420034240002,789,0.148050018
420034240003,630,0.214573272
420039800001,0,0
420035620002,1092,0.405554462
420031516002,698,0.160545764
420034773004,921,0.127840495
420034782001,1271,0.245913216
420034271002,1871,0.116891328
420030103002,3419,1.241732978
420035261013,2758,0.112682133
420034135002,2003,0.076702798
420034020002,734,0.331112384
420035214011,2160,0.040579147
420031918001,863,0.573452409
420031608002,812,0.346318869
420030806002,718,0.421027941
420035233002,1183,0.088253747
420031403002,965,0.334149373
420031608003,489,0.193443492
420035638003,208,0.009795841
420031608004,802,0.191065656
420031609001,1054,0.259678186
420031803001,1305,0.275265932
420031803002,369,0.238049158
420031803003,399,0.284571111
420031706003,573,0.178278076
420031807002,710,0.554431942
420031903002,762,0.223009813
420031911002,1349,0.151079225
420031914001,1431,0.375906273
420032609001,1698,0.208906966
420032612001,1019,0.096671521
420032614002,329,0.093045355
420032701001,1733,0.397968135
420032701002,1046,0.173083383
420032703001,1648,0.426075401
420032708001,606,0.188890378
420034804001,1159,0.086050214
420034927002,897,0.072659937
420032708002,798,0.252349571
420032715001,905,0.137335122
420032715002,1164,0.336111159
420032715003,1165,0.29985895
420032902005,1585,0.627017533
420033102001,674,0.234361417
420033102002,561,0.093015081
420033103001,997,0.04871737
420033204001,713,0.146205426
420033204002,675,0.390132819
420033204003,657,0.341555977
420033206001,1142,0.17322794
420034961023,1385,0.007445546
420035523001,180,0.088807756
420034012001,329,0.075608024
420034012002,1201,0.112639334
420034012003,729,0.115696472
420034012004,624,0.12808171
420034013001,1256,0.246013542
420034070011,824,0.007608835
420034070013,1770,0.012561243
420034070024,2917,0.054774683
420034080011,1760,0.045818717
420034080021,3862,0.101265292
420034080022,2046,0.026052755
420030203001,1212,0.075989224
420030305001,1269,0.33116817
420030305002,840,0.299320116
420030506001,1056,0.269773834
420030506002,271,0.214855983
420030506003,818,0.285185353
420030509001,1348,0.2962416
420030510001,867,0.353945451
420034315004,590,0.14828517
420035604001,700,0.187725438
420030802001,1093,0.431848533
420030804001,732,0.32342584
420030804002,815,0.399394293
420030806001,1355,0.578106201
420030807001,871,0.660233621
420030807002,1007,0.703531631
420030809001,997,0.449633799
420030809002,914,0.576696174
420032814001,802,0.230390918
420032815001,459,0.150931732
420032901001,809,0.10906228
420034011004,855,0.087077407
420034132022,1744,0.08964212
420034142003,1609,0.069189392
420034150022,1269,0.028171278
420034211002,692,0.056618331
420034211004,889,0.090029693
420034212001,1854,0.058031384
420034110002,2509,0.046481556
420034220001,1501,0.02984207
420034133001,1566,0.061529346
420034133002,2072,0.084034125
420034134001,1494,0.085184558
420034134002,1324,0.079065923
420034160001,864,0.098868165
