,Budget,Cost,Block,DistTravel(mi),DesignatedPOD
243,225000,10000,888,7.492190852,17
244,225000,10000,889,7.201787634,17
245,225000,10000,890,6.91712926,17
246,225000,10000,891,7.675941407,17
247,225000,10000,892,5.977227047,17
248,225000,10000,893,7.430812832,17
249,225000,10000,895,7.041392414,17
250,225000,10000,896,7.019656053,17
251,225000,10000,897,5.672990424,39
252,225000,10000,898,5.676685903,39
253,225000,10000,902,8.937653411,17
254,225000,10000,903,8.93234837,17
255,225000,10000,904,9.445504405,17
256,225000,10000,905,8.473781,17
257,225000,10000,906,8.111283907,17
258,225000,10000,915,6.531162123,17
259,225000,10000,916,7.018197143,17
260,225000,10000,917,6.653884278,17
261,225000,10000,918,7.115078843,17
262,225000,10000,919,6.185003491,17
263,225000,10000,920,5.88509693,17
264,225000,10000,921,5.858906368,39
265,225000,10000,922,5.820989657,39
266,225000,10000,923,5.938736852,39
267,225000,10000,924,5.804614834,39
268,225000,10000,925,5.500231609,39
269,225000,10000,926,5.977802693,39
270,225000,10000,927,5.826401309,39
271,225000,10000,928,6.028068125,39
272,225000,10000,929,7.720026012,17
273,225000,10000,931,8.284756642,17
274,225000,10000,932,7.850190106,17
275,225000,10000,933,8.124847659,17
276,225000,10000,934,7.789231807,17
277,225000,10000,935,7.402947493,39
278,225000,10000,936,7.086263601,39
279,225000,10000,937,6.734620801,39
280,225000,10000,938,8.425593982,17
281,225000,10000,939,7.319500281,39
282,225000,10000,940,7.185795071,39
283,225000,10000,941,6.502214034,39
284,225000,10000,942,7.619603904,39
285,225000,10000,943,7.504753937,39
286,225000,10000,944,7.142502918,39
287,225000,10000,945,6.773720992,39
288,225000,10000,946,7.955610325,17
289,225000,10000,947,7.19680098,17
290,225000,10000,948,7.382507294,17
291,225000,10000,949,6.988755002,39
292,225000,10000,950,7.785545621,39
293,225000,10000,951,9.524995865,17
294,225000,10000,952,8.80413486,39
295,225000,10000,953,7.432884628,39
296,225000,10000,954,8.260937931,39
297,225000,10000,955,7.644776193,39
298,225000,10000,956,7.013211415,39
299,225000,10000,957,6.334173423,39
300,225000,10000,958,6.90179447,39
301,225000,10000,959,6.837446932,39
302,225000,10000,960,6.898039064,39
303,225000,10000,961,6.686299095,39
304,225000,10000,962,6.663803034,39
305,225000,10000,963,6.702508206,39
306,225000,10000,964,6.238561488,39
307,225000,10000,965,6.262794224,39
308,225000,10000,966,6.587253979,39
309,225000,10000,967,6.689315186,39
310,225000,10000,968,6.43807458,39
311,225000,10000,969,7.455799816,39
312,225000,10000,970,7.239553339,39
313,225000,10000,971,6.779290155,39
314,225000,10000,972,7.110463799,39
315,225000,10000,973,6.757714263,39
316,225000,10000,974,6.246697254,39
317,225000,10000,975,6.051405974,39
318,225000,10000,976,5.903097512,39
319,225000,10000,977,5.830838742,39
320,225000,10000,979,5.413351358,39
321,225000,10000,980,4.27753381,39
322,225000,10000,981,3.826506496,39
323,225000,10000,988,5.012452125,17
324,225000,10000,1009,6.491836273,39
325,225000,10000,1010,6.881406625,39
326,225000,10000,1011,6.745168677,39
327,225000,10000,1012,6.930320498,39
328,225000,10000,1013,7.692001521,39
329,225000,10000,1014,7.752831312,39
330,225000,10000,1015,5.377917881,39
331,225000,10000,1016,4.267431665,39
332,225000,10000,1017,3.916727238,39
333,225000,10000,1018,6.255396607,39
334,225000,10000,1019,4.668511494,39
335,225000,10000,1020,4.124619223,39
336,225000,10000,1021,4.230181653,39
337,225000,10000,1022,3.871661906,39
338,225000,10000,1023,3.99859168,39
339,225000,10000,1025,5.175954192,39
340,225000,10000,1029,4.086543143,17
341,225000,10000,1038,5.63166002,39
342,225000,10000,1039,6.840564605,39
343,225000,10000,1044,4.076745122,17
344,225000,10000,1049,3.110204087,39
345,225000,10000,1051,6.307379997,17
346,225000,10000,1052,5.319742215,17
347,225000,10000,1063,7.595595148,39
348,225000,10000,1064,4.15030917,17
349,225000,10000,1070,3.002241781,17
350,225000,10000,1071,3.388421066,17
351,225000,10000,1072,3.251436904,17
352,225000,10000,1073,3.935276127,17
353,225000,10000,1074,2.006922059,39
354,225000,10000,1075,1.908906646,39
355,225000,10000,1076,2.031831508,39
356,225000,10000,1077,7.234413992,39
357,225000,10000,1082,2.267027076,17
358,225000,10000,1085,7.502229781,17
359,225000,10000,1095,3.306080152,17
360,225000,10000,1096,3.31354056,17
361,250000,10000,0,5.156997531,17
362,250000,10000,1,3.164102083,1
363,250000,10000,2,6.146933137,17
364,250000,10000,3,1.962165016,27
365,250000,10000,4,5.928945508,39
366,250000,10000,5,3.236026297,27
367,250000,10000,6,5.806256647,17
368,250000,10000,7,5.586077287,39
369,250000,10000,9,3.673955994,39
370,250000,10000,10,3.436549584,39
371,250000,10000,11,6.437575307,17
372,250000,10000,12,4.86412519,17
373,250000,10000,13,4.945211226,17
374,250000,10000,14,4.706878737,17
375,250000,10000,15,5.092411964,17
376,250000,10000,16,3.86931446,17
377,250000,10000,17,4.654813024,17
378,250000,10000,18,2.680916747,17
379,250000,10000,19,2.556243684,17
380,250000,10000,20,2.210446004,17
381,250000,10000,21,1.564886533,17
382,250000,10000,22,1.89867605,17
383,250000,10000,23,0.96078953,17
384,250000,10000,24,0.861908782,17
385,250000,10000,25,1.259198226,17
386,250000,10000,26,1.531506637,17
387,250000,10000,27,1.622246026,17
388,250000,10000,28,1.372781746,17
389,250000,10000,29,1.273377639,17
390,250000,10000,30,1.267745222,17
391,250000,10000,31,7.240220713,17
392,250000,10000,32,7.052339232,17
393,250000,10000,33,2.596121724,27
394,250000,10000,37,3.844992884,17
395,250000,10000,40,5.638097421,17
396,250000,10000,41,3.642604221,17
397,250000,10000,42,4.082375859,17
398,250000,10000,44,6.83812825,17
399,250000,10000,51,9.290112439,1
400,250000,10000,52,8.151112139,17
401,250000,10000,57,3.985230405,17
402,250000,10000,58,5.342991913,17
403,250000,10000,59,4.706595466,17
404,250000,10000,60,4.776000786,17
405,250000,10000,62,4.429846539,39
406,250000,10000,63,3.226288241,39
407,250000,10000,68,4.740407095,17
408,250000,10000,69,6.555740434,17
409,250000,10000,70,4.139158045,17
410,250000,10000,71,3.717291345,17
411,250000,10000,72,3.987306765,17
412,250000,10000,74,4.425780319,17
413,250000,10000,77,4.239200335,1
414,250000,10000,81,4.942538162,17
415,250000,10000,86,5.385721948,17
416,250000,10000,93,2.444635862,27
417,250000,10000,94,1.982463302,27
418,250000,10000,95,6.663966584,17
419,250000,10000,96,7.134972622,17
420,250000,10000,97,5.34107943,17
421,250000,10000,103,5.137739552,17
422,250000,10000,106,6.871464543,17
423,250000,10000,107,7.130085848,1
424,250000,10000,108,7.560934232,39
425,250000,10000,109,2.180428496,27
426,250000,10000,110,5.15369599,17
427,250000,10000,113,6.323959271,17
428,250000,10000,115,7.481794667,39
429,250000,10000,116,4.093421999,39
430,250000,10000,117,8.272729068,39
431,250000,10000,118,7.853796085,17
432,250000,10000,120,2.910876862,39
433,250000,10000,121,2.635206879,17
434,250000,10000,122,1.783842529,27
435,250000,10000,126,3.438519798,39
436,250000,10000,131,2.460360676,27
437,250000,10000,165,6.507623722,1
438,250000,10000,174,5.147587177,39
439,250000,10000,176,3.829199303,39
440,250000,10000,177,4.779239244,17
441,250000,10000,178,7.349562093,17
442,250000,10000,179,5.468217635,17
443,250000,10000,185,2.878256065,17
444,250000,10000,191,7.735503523,1
445,250000,10000,212,2.58912854,17
446,250000,10000,227,6.61301474,39
447,250000,10000,244,4.468751965,17
448,250000,10000,253,6.099223537,39
449,250000,10000,258,1.635467102,17
450,250000,10000,273,4.238320729,17
451,250000,10000,313,4.475973707,17
452,250000,10000,314,4.023189017,17
453,250000,10000,320,4.613274389,39
454,250000,10000,322,7.65525134,39
455,250000,10000,323,6.56796901,17
456,250000,10000,324,5.316485666,17
457,250000,10000,325,8.405466403,39
458,250000,10000,328,7.03309812,17
459,250000,10000,344,7.771663735,17
460,250000,10000,345,9.800805036,17
461,250000,10000,346,5.991434261,39
462,250000,10000,347,5.809519318,17
463,250000,10000,353,3.546774415,39
464,250000,10000,354,5.913574855,17
465,250000,10000,355,7.032385901,17
466,250000,10000,356,7.364797778,17
467,250000,10000,359,4.931094945,39
468,250000,10000,370,7.858335877,39
469,250000,10000,375,1.934012973,27
470,250000,10000,376,1.670619997,17
471,250000,10000,377,3.453553521,39
472,250000,10000,378,3.56602999,39
473,250000,10000,396,2.115436674,17
474,250000,10000,402,5.239931721,17
475,250000,10000,420,3.263989456,39
476,250000,10000,421,8.326908397,39
477,250000,10000,434,1.906827021,17
478,250000,10000,435,6.727560909,17
479,250000,10000,436,2.615781839,27
480,250000,10000,437,6.597284442,17
481,250000,10000,438,2.349800537,27
482,250000,10000,443,6.237241891,17
483,250000,10000,452,2.90696657,17
484,250000,10000,453,3.235858355,17
485,250000,10000,454,4.043587741,17
486,250000,10000,455,3.579289357,17
487,250000,10000,456,3.486157409,17
488,250000,10000,457,3.460651651,17
489,250000,10000,481,2.106618164,17
490,250000,10000,482,2.261020218,17
491,250000,10000,488,2.454859799,17
492,250000,10000,490,5.735736221,39
493,250000,10000,492,1.902243385,39
494,250000,10000,494,6.57731725,17
495,250000,10000,495,3.2422822,17
496,250000,10000,496,1.809506709,17
497,250000,10000,497,2.269200618,17
498,250000,10000,498,5.772240608,17
499,250000,10000,499,3.912953569,17
500,250000,10000,501,6.330560058,17
501,250000,10000,502,6.591183469,17
502,250000,10000,511,7.397303008,39
503,250000,10000,524,1.984069642,27
504,250000,10000,527,1.557931162,17
505,250000,10000,531,6.924502229,39
506,250000,10000,532,2.600829642,17
507,250000,10000,536,5.324292537,17
508,250000,10000,550,3.753863297,39
509,250000,10000,560,7.316209737,1
510,250000,10000,579,7.955260643,39
511,250000,10000,648,1.386178076,17
512,250000,10000,649,7.327169826,17
513,250000,10000,650,2.45167018,27
514,250000,10000,651,6.855495617,17
515,250000,10000,654,5.795915751,17
516,250000,10000,681,6.20168113,17
517,250000,10000,682,6.280506301,17
518,250000,10000,683,3.861886479,1
519,250000,10000,694,10.69246351,1
520,250000,10000,695,6.758874421,39
521,250000,10000,696,4.257228142,39
522,250000,10000,700,5.196221795,17
523,250000,10000,705,1.138096673,17
524,250000,10000,706,5.922764533,17
525,250000,10000,707,6.325363702,39
526,250000,10000,709,4.848231628,39
527,250000,10000,710,5.453244998,17
528,250000,10000,712,5.112849933,17
529,250000,10000,713,5.834846543,17
530,250000,10000,714,4.331405353,17
531,250000,10000,715,4.191033076,17
532,250000,10000,716,4.293083116,17
533,250000,10000,717,4.634032726,17
534,250000,10000,718,3.998554838,17
535,250000,10000,719,4.52079938,17
536,250000,10000,720,4.877526154,17
537,250000,10000,721,4.095785895,17
538,250000,10000,722,1.524029653,27
539,250000,10000,723,1.053353965,27
540,250000,10000,724,2.365055234,27
541,250000,10000,725,2.068808109,27
542,250000,10000,726,2.574584371,27
543,250000,10000,727,1.741208547,27
544,250000,10000,728,2.034465772,27
545,250000,10000,731,1.482766637,27
546,250000,10000,732,1.728133006,27
547,250000,10000,733,1.838127555,27
548,250000,10000,734,2.092091479,27
549,250000,10000,735,3.645299485,17
550,250000,10000,736,1.282780582,39
551,250000,10000,737,2.136323843,39
552,250000,10000,738,1.627903147,39
553,250000,10000,739,2.722714696,17
554,250000,10000,740,2.674960339,17
555,250000,10000,741,2.975377805,17
556,250000,10000,742,2.069877237,17
557,250000,10000,756,6.211908097,17
558,250000,10000,757,5.426614295,17
559,250000,10000,758,5.458939206,17
560,250000,10000,759,7.046624815,17
561,250000,10000,760,7.021815196,17
562,250000,10000,761,7.034233152,17
563,250000,10000,762,6.179440514,17
564,250000,10000,763,6.366940369,17
565,250000,10000,766,6.9463961,39
566,250000,10000,767,6.474443289,39
567,250000,10000,768,6.528783662,39
568,250000,10000,769,6.402492984,39
569,250000,10000,770,6.288937772,39
570,250000,10000,771,6.005166477,39
571,250000,10000,772,6.78298438,39
572,250000,10000,773,6.649003703,39
573,250000,10000,774,6.09708577,17
574,250000,10000,775,5.131137541,17
575,250000,10000,776,3.816268313,17
576,250000,10000,820,5.055379375,39
577,250000,10000,821,5.734311971,39
578,250000,10000,822,5.22446031,39
579,250000,10000,823,5.191493351,39
580,250000,10000,824,4.450697115,39
581,250000,10000,825,4.696658341,39
582,250000,10000,826,5.659220379,39
583,250000,10000,827,5.341174984,39
584,250000,10000,832,3.925466535,17
585,250000,10000,833,5.318877058,17
586,250000,10000,835,5.723185964,17
587,250000,10000,839,4.226501697,39
588,250000,10000,840,4.262761638,39
589,250000,10000,841,7.402678573,39
590,250000,10000,842,6.738090338,39
591,250000,10000,844,5.169081959,17
592,250000,10000,845,7.363022652,17
593,250000,10000,846,4.304925772,39
594,250000,10000,877,7.575516224,17
595,250000,10000,878,5.870173231,39
596,250000,10000,879,5.293938409,17
597,250000,10000,880,5.48151757,17
598,250000,10000,882,4.390032955,17
599,250000,10000,883,4.377129095,17
600,250000,10000,884,4.025266039,17
601,250000,10000,885,4.065335015,17
602,250000,10000,886,5.068267051,17
603,250000,10000,887,6.670711218,17
604,250000,10000,888,6.030262233,39
605,250000,10000,889,6.067072008,39
606,250000,10000,890,6.91712926,17
607,250000,10000,891,6.260005007,39
608,250000,10000,892,5.977227047,17
609,250000,10000,893,7.430812832,17
610,250000,10000,895,7.041392414,17
611,250000,10000,896,7.019656053,17
612,250000,10000,897,5.672990424,39
613,250000,10000,898,5.676685903,39
614,250000,10000,902,0.922022891,27
615,250000,10000,903,0.402716145,27
616,250000,10000,904,0.602673368,27
617,250000,10000,905,0.619836355,27
618,250000,10000,906,0.895734117,27
619,250000,10000,915,6.531162123,17
620,250000,10000,916,5.948040267,39
621,250000,10000,917,6.653884278,17
622,250000,10000,918,6.033871204,39
623,250000,10000,919,6.185003491,17
624,250000,10000,920,5.88509693,17
625,250000,10000,921,5.858906368,39
626,250000,10000,922,5.820989657,39
627,250000,10000,923,5.938736852,39
628,250000,10000,924,5.804614834,39
629,250000,10000,925,5.500231609,39
630,250000,10000,926,5.977802693,39
631,250000,10000,927,5.826401309,39
632,250000,10000,928,6.028068125,39
633,250000,10000,929,7.720026012,17
634,250000,10000,931,8.284756642,17
635,250000,10000,932,7.850190106,17
636,250000,10000,933,8.124847659,17
637,250000,10000,934,7.789231807,17
638,250000,10000,935,7.402947493,39
639,250000,10000,936,7.086263601,39
640,250000,10000,937,6.734620801,39
641,250000,10000,938,7.049029255,39
642,250000,10000,939,7.319500281,39
643,250000,10000,940,7.185795071,39
644,250000,10000,941,6.502214034,39
645,250000,10000,942,7.619603904,39
646,250000,10000,943,7.504753937,39
647,250000,10000,944,7.142502918,39
648,250000,10000,945,6.773720992,39
649,250000,10000,946,1.399339592,27
650,250000,10000,947,2.877639092,27
651,250000,10000,948,7.382507294,17
652,250000,10000,949,6.988755002,39
653,250000,10000,950,7.785545621,39
654,250000,10000,951,9.524995865,17
655,250000,10000,952,8.80413486,39
656,250000,10000,953,7.432884628,39
657,250000,10000,954,8.260937931,39
658,250000,10000,955,7.644776193,39
659,250000,10000,956,7.013211415,39
660,250000,10000,957,6.334173423,39
661,250000,10000,958,6.90179447,39
662,250000,10000,959,6.837446932,39
663,250000,10000,960,6.898039064,39
664,250000,10000,961,6.686299095,39
665,250000,10000,962,6.663803034,39
666,250000,10000,963,6.702508206,39
667,250000,10000,964,6.238561488,39
668,250000,10000,965,6.262794224,39
669,250000,10000,966,6.587253979,39
670,250000,10000,967,6.689315186,39
671,250000,10000,968,6.43807458,39
672,250000,10000,969,7.455799816,39
673,250000,10000,970,7.239553339,39
674,250000,10000,971,6.779290155,39
